"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","365","64","236","61","4",".",".","200","112","70",".",".","193","158","14"
"13860","Bishop, CA","365","136","216","9","1","2","1","411","81","55",".",".","230","120","15"
"17020","Chico, CA","365","238","127",".",".",".",".","96","61","46",".",".","167","198","."
"17340","Clearlake, CA","363","360","3",".",".",".",".","74","39","31",".",".","350","13","."
"18860","Crescent City, CA","352","288","64",".",".",".",".","70","54","32",".",".",".","352","."
"20940","El Centro, CA","365","101","220","34","9",".","1","426","108","64",".","1","190","76","98"
"21700","Eureka-Arcata-Fortuna, CA","365","285","80",".",".",".",".","87","55","38",".",".","142","205","18"
"23420","Fresno, CA","365","105","226","31","3",".",".","164","100","61",".",".","202","153","10"
"25260","Hanford-Corcoran, CA","365","126","228","11",".",".",".","133","85","57",".",".","150","187","28"
"31080","Los Angeles-Long Beach-Anaheim, CA","365","39","227","67","31","1",".","201","147","74",".","5","193","154","13"
"31460","Madera, CA","365","184","178","3",".",".",".","136","76","50",".",".","201","146","18"
"32900","Merced, CA","365","186","179",".",".",".",".","100","77","50",".",".","220","135","10"
"33700","Modesto, CA","365","182","180","3",".",".",".","115","80","51",".",".","224","137","4"
"37100","Oxnard-Thousand Oaks-Ventura, CA","365","190","167","8",".",".",".","131","67","50",".",".","196","163","6"
"39780","Red Bluff, CA","365","284","80","1",".",".",".","108","54","38",".",".","174","185","6"
"39820","Redding, CA","365","276","88",".","1",".",".","154","61","44",".",".","278","87","."
"40140","Riverside-San Bernardino-Ontario, CA","365","27","202","83","48","4","1","365","161","87",".","2","207","126","30"
"40900","Sacramento--Roseville--Arden-Arcade, CA","365","129","231","5",".",".",".","143","77","55",".",".","178","187","."
"41500","Salinas, CA","365","314","51",".",".",".",".","62","53","38",".",".","167","169","29"
"41740","San Diego-Carlsbad, CA","365","64","268","26","7",".",".","161","100","67",".",".","168","189","8"
"41860","San Francisco-Oakland-Hayward, CA","76","69","7",".",".",".",".","62","50","22",".",".",".","76","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","365","334","31",".",".",".",".","71","50","39",".",".","305","60","."
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","365","191","167","7",".",".",".","119","67","50",".",".","187","175","3"
"42100","Santa Cruz-Watsonville, CA","365","320","45",".",".",".",".","71","53","35",".",".","180","185","."
"42200","Santa Maria-Santa Barbara, CA","365","164","201",".",".",".",".","87","61","52",".",".","66","291","8"
"42220","Santa Rosa, CA","365","365",".",".",".",".",".","39","17","9",".",".",".",".","365"
"43760","Sonora, CA","338","294","43","1",".",".",".","105","54","39",".",".","338",".","."
"44700","Stockton-Lodi, CA","365","219","146",".",".",".",".","93","67","46",".",".","153","206","6"
"46020","Truckee-Grass Valley, CA","362","289","72","1",".",".",".","108","58","42",".",".","249","113","."
"46380","Ukiah, CA","365","269","96",".",".",".",".","81","59","38",".",".","135","228","2"
"46700","Vallejo-Fairfield, CA","356","353","3",".",".",".",".","61","42","33",".",".","354",".","2"
"47300","Visalia-Porterville, CA","365","88","234","43",".",".",".","147","105","64",".",".","195","166","4"
"49700","Yuba City, CA","364","230","134",".",".",".",".","100","64","47",".",".","206","158","."
